"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C2,C3,C6,C14","4.7uF","Capacitor_SMD:C_0603_1608Metric","~","5","","",""
"C4,C5,C7,C8,C9,C10,C11,C12,C13,C19","100nF","Capacitor_SMD:C_0402_1005Metric","~","10","","",""
"C15","0.8pF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C16","0.3pF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C17,C18","10p","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"D1","LED","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"FID1,FID2,FID3","Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","3","","Excluded from BOM",""
"FLT1","DLF162500LT-5028A1","STM32_RF:Untitled","https://product.tdk.com/en/system/files?file=dam/doc/product/rf/rf/filter/catalog/rf_lpf_dlf162500lt-5028a1_en.pdf","1","","",""
"H1,H2,H3,H4","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_Via","~","4","","Excluded from BOM",""
"J1","Conn_01x04","Connector_Molex:Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal","~","1","","",""
"J2","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","",""
"J3","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","~","1","","",""
"J4","TC2030","Connector:Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/TC2030-CTX_1.pdf","1","","Excluded from BOM",""
"L1","10nH","Inductor_SMD:L_0402_1005Metric","~","1","","",""
"L2","10uH","Inductor_SMD:L_0805_2012Metric","~","1","","",""
"L3","2.7nH","Inductor_SMD:L_0402_1005Metric","~","1","","",""
"R1,R2,R6","100R","Capacitor_SMD:C_0402_1005Metric","~","3","","",""
"R3","220R","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"R4,R5","5K1","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"R7","5k1","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"SW1","SW_Push","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~","1","","",""
"U1","MIC5365-3.3YD5","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/mic5365.pdf","1","","",""
"U2","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","1","","",""
"U3","STM32WB55CEU6","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32wb55ce.pdf","1","","",""
"X1","32KHz768","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","~","1","","",""
"X2","32MHz","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","~","1","","",""
